DEPTH_WMSF	HCGR
49.8348	1.5886
49.9872	1.4122
50.1396	2.4233
50.292	3.2458
50.4444	2.8196
50.5968	2.9489
50.7492	2.1518
50.9016	2.0967
51.054	2.2224
51.2064	2.7299
51.3588	2.8422
51.5112	3.6628
51.6636	3.275
51.816	2.2928
51.9684	1.8545
52.1208	1.8257
52.2732	1.395
52.4256	1.5818
52.578	1.9755
52.7304	1.6854
52.8828	1.5234
53.0352	2.0837
53.1876	1.8242
53.34	2.0726
53.4924	2.1846
53.6448	2.1984
53.7972	2.7498
53.9496	2.1911
54.102	2.0979
54.2544	1.0884
54.4068	1.2712
54.5592	1.4111
54.7116	1.4393
54.864	1.033
55.0164	0.7541
55.1688	0.6108
55.3212	0.2246
55.4736	-0.1225
55.626	-0.1153
55.7784	-0.0049
55.9308	0.4903
56.0832	0.3146
56.2356	1.3425
56.388	1.4286
56.5404	2.0545
56.6928	1.7417
56.8452	2.2741
56.9976	1.6661
57.15	1.5073
57.3024	1.1829
57.4548	1.3746
57.6072	1.3269
57.7596	2.2198
57.912	1.666
58.0644	2.0448
58.2168	1.61
58.3692	1.7927
58.5216	1.3576
58.674	1.4128
58.8264	1.3834
58.9788	1.4793
59.1312	1.2685
59.2836	1.1149
59.436	0.7732
59.5884	0.5579
59.7408	0.4848
59.8932	0.7897
60.0456	0.417
60.198	0.8955
60.3504	1.2165
60.5028	1.1721
60.6552	1.799
60.8076	1.5171
60.96	1.6531
61.1124	1.7781
61.2648	1.8503
61.4172	1.4187
61.5696	1.3657
61.722	1.3326
61.8744	1.1506
62.0268	1.1483
62.1792	1.6726
62.3316	1.5502
62.484	1.6714
62.6364	2.0743
62.7888	1.1801
62.9412	1.0328
63.0936	1.7187
63.246	1.6247
63.3984	2.6537
63.5508	3.1135
63.7032	3.4711
63.8556	2.6728
64.008	2.6218
64.1604	2.477
64.3128	2.8332
64.4652	4.1472
64.6176	3.7664
64.77	3.5858
64.9224	3.1166
65.0748	2.2333
65.2272	2.2604
65.3796	2.4967
65.532	2.6581
65.6844	2.2073
65.8368	2.7524
65.9892	2.5991
66.1416	2.0932
66.294	1.6365
66.4464	0.8589
66.5988	0.8983
66.7512	0.5257
66.9036	-0.0149
67.056	-0.3794
67.2084	0.0455
67.3608	0.2719
67.5132	0.5852
67.6656	0.7419
67.818	0.5556
67.9704	0.7803
68.1228	1.4403
68.2752	1.8704
68.4276	3.1672
68.58	3.0117
68.7324	4.2167
68.8848	2.9012
69.0372	3.0784
69.1896	2.4741
69.342	2.2469
69.4944	2.4962
69.6468	2.4921
69.7992	2.4556
69.9516	2.2867
70.104	1.8173
70.2564	2.2082
70.4088	1.224
70.5612	1.8858
70.7136	1.827
70.866	1.5521
71.0184	1.6454
71.1708	1.5321
71.3232	1.462
71.4756	1.3388
71.628	0.9742
71.7804	1.1738
71.9328	0.7499
72.0852	1.2877
72.2376	1.5824
72.39	1.2456
72.5424	1.6848
72.6948	1.6876
72.8472	2.7185
72.9996	2.468
73.152	2.5765
73.3044	2.7871
73.4568	2.4576
73.6092	3.0141
73.7616	2.8379
73.914	2.7789
74.0664	3.5127
74.2188	3.0704
74.3712	2.3335
74.5236	1.7236
74.676	1.5575
74.8284	1.5412
74.9808	1.6121
75.1332	1.4783
75.2856	1.1123
75.438	0.8162
75.5904	0.5741
75.7428	0.2122
75.8952	-0.1352
76.0476	-0.1777
76.2	0.0679
76.3524	0.478
76.5048	0.6234
76.6572	0.7504
76.8096	1.5153
76.962	1.5896
77.1144	1.7481
77.2668	2.1453
77.4192	1.6497
77.5716	3.3813
77.724	3.3376
77.8764	3.3379
78.0288	3.1483
78.1812	2.9468
78.3336	3.0325
78.486	2.846
78.6384	3.2674
78.7908	3.0838
78.9432	3.1615
79.0956	3.342
79.248	1.2894
79.4004	1.2654
79.5528	1.115
79.7052	1.6152
79.8576	2.5071
80.01	1.8524
80.1624	2.3793
80.3148	1.8015
80.4672	1.6515
80.6196	2.0074
80.772	3.233
80.9244	3.9864
81.0768	3.3973
81.2292	2.782
81.3816	2.6386
81.534	2.1131
81.6864	2.6312
81.8388	1.8228
81.9912	1.9682
82.1436	2.5583
82.296	1.727
82.4484	1.2028
82.6008	1.0624
82.7532	1.0731
82.9056	1.1011
83.058	1.0327
83.2104	1.6077
83.3628	2.5106
83.5152	2.6596
83.6676	1.6838
83.82	1.5982
83.9724	2.036
84.1248	4.0921
84.2772	5.882
84.4296	7.7226
84.582	8.4257
84.7344	9.5331
84.8868	8.9235
85.0392	8.0723
85.1916	7.5313
85.344	9.9748
85.4964	8.8995
85.6488	8.1505
85.8012	7.6839
85.9536	8.52
86.106	8.516
86.2584	8.8041
86.4108	8.1074
86.5632	8.8304
86.7156	8.356
86.868	9.5108
87.0204	8.7262
87.1728	9.0924
