DEPTH	Depth (m)	Depth bsf	Caliper	Bulk Density Correction	Sonic	Gamma Ray	IL-Deep Resistivity	Latero-Log Deep	Latero-Log Shallow	MSFL Resistivity	Neutron Porosity	Photo Electric Factor	Bulk Density	Spherical Focusing Log	Spontaneous Potential
9300.5	2834.7924	2710.7924	13.467	0.0074	81.0135	122.7945	-999.25	4.3619	3.1184	5.1309	23.0016	1.8114	2.5803	-999.25	57.4968
9301	2834.9448	2710.9448	13.5417	0.0023	78.7599	130.0604	-999.25	4.561	3.3093	5.6117	22.4868	1.8436	2.5812	-999.25	58.0341
9301.5	2835.0972	2711.0972	13.5937	-0.0015	78.236	136.0222	-999.25	4.5865	3.3774	5.3864	22.5048	1.8441	2.5787	-999.25	58.7117
9302	2835.2496	2711.2496	13.6341	-0.0042	79.8465	139.2763	-999.25	4.3516	3.1211	5.8252	23.6072	1.8214	2.5826	-999.25	59.402
9302.5	2835.402	2711.402	13.6531	-0.0035	83.4853	138.0156	-999.25	3.9907	2.7417	5.8799	25.3921	1.7791	2.5821	-999.25	59.6633
9303	2835.5544	2711.5544	13.6662	-0.0009	87.5034	133.4342	-999.25	3.5719	2.5462	5.9185	27.8447	1.7297	2.5687	-999.25	59.1846
9303.5	2835.7068	2711.7068	13.6737	-0.0024	90.7536	126.8257	-999.25	3.2424	2.4023	5.7962	30.2104	1.6787	2.541	-999.25	58.4423
9304	2835.8592	2711.8592	13.6827	-0.0051	92.4458	119.0948	-999.25	3.1268	2.3609	5.2364	30.8693	1.6785	2.5238	-999.25	57.6933
9304.5	2836.0116	2712.0116	13.6931	-0.0072	90.9447	110.7818	-999.25	3.2146	2.3803	4.6373	29.6769	1.7372	2.5151	-999.25	57.0602
9305	2836.164	2712.164	13.7108	-0.0084	86.7505	103.4066	-999.25	3.5795	2.5105	3.8016	27.6235	1.8191	2.5224	-999.25	56.7061
9305.5	2836.3164	2712.3164	13.7318	-0.0089	83.0361	98.9023	-999.25	4.3361	2.7503	5.004	25.2452	1.8893	2.5343	-999.25	56.82
